Point in Time[s],Power Consumption[W]
6603.879,101.0
6614.774,93.0
6624.717,57.0
6638.694,52.0
6648.762,97.0
6658.693,55.0
6668.696,95.0
6678.695,69.0
6688.693,56.0
6696.23,91.0
6704.72,60.0
6718.697,60.0
6723.988,95.0
6734.776,55.0
6748.695,69.0
6758.695,90.0
6764.714,88.0
6774.838,90.0
6788.688,116.0
6798.699,73.0
6808.699,63.0
6814.825,72.0
6824.834,121.0
6834.839,52.0
6843.903,122.0
6858.708,89.0
6864.72,54.0
6873.871,66.0
6884.837,60.0
6898.696,58.0
6908.691,96.0
6915.485,52.0
6924.715,55.0
6934.716,59.0
6944.84,59.0
6954.843,52.0
6963.892,106.0
6974.887,53.0
6984.725,54.0
6998.702,51.0
7008.701,52.0
7018.696,51.0
7028.7,96.0
7034.829,53.0
7044.719,57.0
7058.696,90.0
7064.832,51.0
7074.725,52.0
7083.884,124.0
7094.904,71.0
7108.701,56.0
7114.847,73.0
7124.833,58.0
7138.743,106.0
7148.702,94.0
7154.833,71.0
7164.726,58.0
7174.725,57.0
7184.855,55.0
7194.727,53.0
7203.967,92.0
7218.701,74.0
7224.837,53.0
7234.723,55.0
7244.723,56.0
7254.723,54.0
7268.702,94.0
7278.702,52.0
7284.847,57.0
7298.702,61.0
7304.841,59.0
7314.752,51.0
7324.097,105.0
7334.777,56.0
7348.705,56.0
7358.701,52.0
7368.701,51.0
7378.702,52.0
7388.693,128.0
7394.839,52.0
7408.701,77.0
7414.853,86.0
7428.704,58.0
7434.858,94.0
7443.911,148.0
7458.704,113.0
7468.704,91.0
7474.841,62.0
7484.726,59.0
7498.703,62.0
7508.697,97.0
7518.703,56.0
7524.726,54.0
7534.726,53.0
7544.724,51.0
7558.702,71.0
7563.906,93.0
7574.783,52.0
7588.709,54.0
7598.706,59.0
7604.842,54.0
7614.726,54.0
7628.697,97.0
7638.705,64.0
7644.729,54.0
7658.71,51.0
7664.837,52.0
7674.729,52.0
7683.89,93.0
7698.71,51.0
7703.882,53.0
7714.742,61.0
7723.892,54.0
7734.76,51.0
7748.713,93.0
7754.732,54.0
7764.84,53.0
7778.706,87.0
7784.892,51.0
7794.766,68.0
7803.908,144.0
7814.932,59.0
7824.843,56.0
7838.709,64.0
7848.708,56.0
7858.71,57.0
7868.713,105.0
7878.711,56.0
7888.71,57.0
7894.858,55.0
7904.859,61.0
7918.714,91.0
7923.913,104.0
7938.72,94.0
7948.71,62.0
7954.726,56.0
7964.726,106.0
7978.708,129.0
7988.703,131.0
7994.894,103.0
8004.847,106.0
8014.729,104.0
8023.887,103.0
8038.711,100.0
8043.951,93.0
8054.789,53.0
8064.728,88.0
8074.731,51.0
8084.741,51.0
8098.711,52.0
8108.707,139.0
8114.853,54.0
8124.85,51.0
8133.885,65.0
8144.732,57.0
8158.72,70.0
8164.133,96.0
8174.905,92.0
8184.734,56.0
8198.715,94.0
8204.731,54.0
8214.734,67.0
8228.709,95.0
8234.734,51.0
8244.843,54.0
8254.855,53.0
8264.843,54.0
8274.854,63.0
8283.863,95.0
8298.752,91.0
8308.716,70.0
8315.561,51.0
8324.733,52.0
8334.846,52.0
8348.722,116.0
8353.889,61.0
8364.75,52.0
8374.85,64.0
8388.718,52.0
8398.743,71.0
8403.901,96.0
8413.943,51.0
8428.717,87.0
8438.732,51.0
8448.717,52.0
8458.746,56.0
8468.71,130.0
8478.736,93.0
8488.717,64.0
8495.559,79.0
8508.719,61.0
8515.56,56.0
8523.881,100.0
8534.79,60.0
8548.716,57.0
8558.732,62.0
8564.734,53.0
8578.739,55.0
8588.712,98.0
8598.74,50.0
8608.717,54.0
8615.58,62.0
8624.734,69.0
8634.762,54.0
8644.079,94.0
8654.805,81.0
8664.737,72.0
8674.746,93.0
8684.736,70.0
8694.845,69.0
8708.705,119.0
8714.738,70.0
8724.735,72.0
8734.746,70.0
8744.74,53.0
8758.741,72.0
8763.889,137.0
8778.77,99.0
8784.74,52.0
8794.849,72.0
8804.74,93.0
8818.742,56.0
8828.723,98.0
8834.74,72.0
8844.743,60.0
8854.756,90.0
8868.721,55.0
8875.57,50.0
8883.904,92.0
8894.912,51.0
8908.753,67.0
8915.571,51.0
8924.742,52.0
8938.745,53.0
8948.723,99.0
8958.737,51.0
8968.72,53.0
8978.736,52.0
8984.736,52.0
8994.765,52.0
9003.929,106.0
9014.636,54.0
9028.723,52.0
9035.57,57.0
9048.723,67.0
9055.573,52.0
9068.727,98.0
9078.745,73.0
9088.723,51.0
9098.738,69.0
9108.724,57.0
9115.57,70.0
9123.968,109.0
9134.799,60.0
9148.726,54.0
9158.741,54.0
9168.726,59.0
9175.573,67.0
9188.721,98.0
9194.863,69.0
9208.725,55.0
9215.588,90.0
9224.742,90.0
9238.75,52.0
9243.926,102.0
9258.759,57.0
9268.726,51.0
9275.578,91.0
9288.73,60.0
9298.757,60.0
9308.721,129.0
9314.985,59.0
9328.728,69.0
9338.744,54.0
9348.732,69.0
9358.775,71.0
9364.055,94.0
9375.045,77.0
9383.9,83.0
9398.743,66.0
9404.878,61.0
9415.103,57.0
9428.736,96.0
9435.124,52.0
9444.758,55.0
9455.145,69.0
9464.751,57.0
9475.164,90.0
9483.887,94.0
9495.185,71.0
9508.729,74.0
9515.586,69.0
9524.862,53.0
9535.246,54.0
9548.733,97.0
9555.262,67.0
9564.877,72.0
9578.749,52.0
9588.731,51.0
9598.756,56.0
9603.986,97.0
9615.323,51.0
9624.752,53.0
9638.743,51.0
9648.732,52.0
9658.754,52.0
9668.731,116.0
9675.402,70.0
9684.893,52.0
9698.76,93.0
9708.732,88.0
9715.585,56.0
9723.977,145.0
9735.461,67.0
9748.731,60.0
9755.583,56.0
9768.732,56.0
9778.757,62.0
9788.723,99.0
9795.539,54.0
9804.752,54.0
9818.744,54.0
9828.73,53.0
9838.754,69.0
9843.881,108.0
9858.76,51.0
9864.76,51.0
9875.634,51.0
9884.857,51.0
9895.655,51.0
9908.734,101.0
9915.674,52.0
9928.733,51.0
9935.692,53.0
9948.731,58.0
9958.747,90.0
9963.92,93.0
9978.752,51.0
9984.859,52.0
9995.768,59.0
10008.734,59.0
10015.792,70.0
10028.734,114.0
10035.819,69.0
10048.733,67.0
10055.832,69.0
10068.732,68.0
10075.854,100.0
10084.071,103.0
10095.874,92.0
10108.743,52.0
10115.964,69.0
10128.734,59.0
10135.985,57.0
10148.727,98.0
10156.003,73.0
10168.736,56.0
10176.027,53.0
10184.75,57.0
10196.036,53.0
10203.991,98.0
10216.054,53.0
10228.735,61.0
10236.101,52.0
10243.903,53.0
10256.112,52.0
10268.729,96.0
10276.142,51.0
10288.735,91.0
10296.162,51.0
10308.734,52.0
10316.172,51.0
10323.905,103.0
10336.192,52.0
10348.735,52.0
10356.23,69.0
10364.754,53.0
10376.25,51.0
10388.729,95.0
10396.27,54.0
10408.738,54.0
10416.292,60.0
10424.755,61.0
10436.32,69.0
10443.898,97.0
10456.34,71.0
10464.754,69.0
10476.387,49.0
10483.911,51.0
10496.406,51.0
10508.723,124.0
10516.434,52.0
10524.873,52.0
10536.446,64.0
10544.865,91.0
10556.464,54.0
10563.942,112.0
10576.493,53.0
10584.871,88.0
10596.531,117.0
10603.788,52.0
10616.542,54.0
10628.731,122.0
10636.564,51.0
10644.754,90.0
10656.585,65.0
10664.754,67.0
10676.605,51.0
10683.91,124.0
10696.624,92.0
10704.787,52.0
10716.663,74.0
10724.768,61.0
10736.686,52.0
10748.734,93.0
10756.709,90.0
10764.754,53.0
10776.729,70.0
10783.857,53.0
10796.748,96.0
10803.891,98.0
10816.771,58.0
10823.912,57.0
10836.806,69.0
10843.916,54.0
10856.827,56.0
10868.733,95.0
10876.849,92.0
10883.943,53.0
10896.869,52.0
